,id,tweet,label
0,7921,I hate the new #iphone upgrade. Won't let me download apps. #ugh #apple sucks,1
1,7922,currently shitting my fucking pants. #apple #iMac #cashmoney #raddest #swagswagswag http://instagr.am/p/UUIS0bIBZo/,1
2,7923,"I'd like to puts some CD-ROMS on my iPad, is that possible?' — Yes, but wouldn't that block the screen?
",1
3,7924,"My ipod is officially dead. I lost all my pictures and videos from the 1D and 5sos concert,and from Vet Camp #hatinglife #sobbing",1
4,7925,Been fighting iTunes all night! I only want the music I $&@*# paid for,1
5,7926,#Repost @getbakednfried with repostapp ・・・ to announce we will have our #apple #bourbon… https://www.instagram.com/p/BK5okHOgWSS/,0
6,7927,This new apple software update is really doing things to my phone. Bad things apple,1
7,7928,BABY #iPhone #iphone6s #gold #new #apple #appleisbest #64GB #gegönnt #aaaaah https://www.instagram.com/p/BAUx8eQtKez/,0
8,7929,I'm confused...why did I have to take the time to set a appointment. To still be waiting her 45 minutes after the fact,1
9,7930,Fruit just tastes better when you pick it yourself. #apple #healthy #fruit #nyc by … http://ift.tt/1RI7dyo pic.twitter.com/ZuO9tHmEK3,0
10,7931,Con mi buddy#edgar #buddy #friend #viviendo #taller #friendly #hug #sony #smile #sonrisa http://instagram.com/p/fasVZruzQI/,0
11,7932,#MyMomIsGreatBecause she always care about me! And do anything for me #FOLLOW #MothersDay #MustFollow mothersday #iPhone #tweet,0
12,7933,"#kiss,,#romance,#hot,#movie,#iphone,#sex,#porn Lustful Mature Woman Is Getting Nailed Intensively In A Mission http://bit.ly/SPBTUR",0
13,7934,Holding to hope when a loved one is… http://dlvr.it/LQjnNj #news #photography #fashion #health #fail #tech #ipad #iphone #funny #lol,0
14,7935,New phone case :) #Me #Selfie #Guy #Dude #Smiles #Teeth #Cute #Samsung #GalaxyS3 #British #Flag #Vint http://instagr.am/p/Q_dqXztofj/,0
15,7936,this #shoot from my #son (10) at #Swarovski #Kristallwelten. #Photo #iPhone 6plus @ Swarovski… https://instagram.com/p/3UbQKNoL6-/,0
16,7937,"Found this photo of ME! Not mine, still its ME!It's new( ´艸｀)♡ #snoopy #apple #cup #character #cute #… http://ift.tt/1EumWb8",0
17,7938,"10 fucking iPhone chargers && none work, is this a fucking joke?! Thank god my ihome works....for now #apple",1
18,7939,I can't buy a song off iTunes w/o having to go through 50 fucking security verifications,1
19,7940,Check out the Justin Layman #app http://rvrb.fm/g8bVu8 /via #iPhone #android #JLay #music #newmusic #fb #original #CMTAwa... @Jwlayman,0
20,7941,Good morning golden October #me #new #RoseGold #coffee #gorgeous #iPhone6s #64Gb #Apple #lucky pic.twitter.com/IQhEgeE4S0,0
21,7942,Got to ride my horse properly for the first time in ages today #Horse #Look #It #iPhone… https://instagram.com/p/81NvEAN005/,0
22,7943,Got my iPhone screen fixed..get into bed phone falls *CRACKED* what a $&@*# iphone,1
23,7944,Samsung permanently stops Galaxy Note 7 production Read More:- https://goo.gl/FKTTje #Samsung #SamsungBlast #GalaxyNote7pic.twitter.com/HMWz5fGCMq,0
24,7945,can I just add that right after I tweeted about wanting to jailbreak my iPhone it became unresponsive? #hateitunes,0
25,7946,#2do one of the best apps for the #iphone it :),0
26,7947,15% DISCOUNT https://bit.ly/2vUfGuH #zazzle #promo #promocode #discount #honey #iphone #phonecase #iphonex #yellow #summer #goodvibes #positivevibes #ThursdayAesthetic #cool #trending #cute #fashion #stylish #teen #hippie #summervibes #vacation #lifestyle #ukpic.twitter.com/tjlY0AVvIU,0
27,7948,Reposting @lexzaronis: “If you want to see the sunshine you have to weather the storm” #explore #landscape #photographer #beautiful #outdoors #getoutandexplore #slowingitdown #ludapix #photography #england #apple #mac #macbookpro #hashtag #nofilter #igers #nikkor #becausepic.twitter.com/GvRl5pG0SB,0
28,7949,"My iPhone 5 charger has broken. I bought two new chargers, but they are fake and faulty :( #lame #apple",1
29,7950,Tapeless!!!? Just call me crazy! Lol... #jj #share #smile #iphone #igdaily #instagram #instadaily #in http://instagr.am/p/ORnza8Q7qu/,0
30,7951,I don't remember my phone crashing this much before iOS8 thanks @Apple #Apple #StillBetterThanAndroid,1
31,7952,Will #stevejobs be how the #appleevent #applespecialevent on @YouTube got Bugged... #iphonex #iphone8pic.twitter.com/PZw9d9fVBX,0
32,7953,Sunset One Minute Ago ;-) #europe #zeeland #samsung #sunset #brouwersdam #zandzuigerpic.twitter.com/DDrVJKvGrM,0
33,7954,Photo: #Coldplay #VidaLaVida #spotify #music #musica #MotoX #Motorola #feliz #verygood #best #amo... http://tmblr.co/ZB46dn1KiQVxp,0
34,7955,Gain Followers RT This MUST FOLLOW ME I FOLLOW BACK Follow everyone who rts Gain #iphone #sougofollow qtl&,0
35,7956,"So, the iPhone4 requires you to have a sim-card to activate it, but 99.9% of its functionality works fine without one. #apple",1
36,7957,I actually hate my ipad its such a useless piece of shitttt that never works!!!!!,1
37,7958,Gain Followers RT This MUST FOLLOW ME I FOLLOW BACK Follow everyone who rts Gain #iphone #sougofollow c8z3,0
38,7959,"#Doug #Robinson #Exits #Madison, #Launches New #Sony TV-Based #Banner – http://styleveryday.com/2017/07/18/doug-robinson-exits-happy-madison-launches-new-sony-tv-based-banner/ … – #TVBasedpic.twitter.com/vG1m4XfKI8",0
39,7960,Sunset #vocation #newyear #trip #thailand #khaoko #a6000 #ILCE6000 #sony #vsco #snapspeed… http://instagram.com/p/xcp9Zor6W9/,0
40,7961,Happy Birthday Candy :)...#birthday #daughter #rainbow #cake #big #motorola #photon #android http://instagr.am/p/MqQDlQD_gp/,0
41,7962,I'm now listed on @listorious! Check it out at http://listorious.com/IntenseMedia #writing #mobile #iphone #iphoneapps #appolicious,0
42,7963,I love you grandma #instadaily #ig #iphonegraphy #iphonesia #iphone #indonesia #instagramhub #igers #i http://instagr.am/p/Iw1Gv-Iaa3/,0
43,7964,Having to restore my IPhone from scratch... Despite back up lets see how much I loose this time !?!,1
